window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
0,0.0,3.0,CHECK_IN,CHECK_IN,True,first,REACTION_POSE,positive-low-arousal,0.55,0.5014034386402295,0.25921494394172856,falling,mixed,0.026505231857299805,0.015166476368904114,13.667384147644043,video49
1,3.0,6.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.40496159887608185,0.27923130014060454,falling,mixed,0.03665253520011902,0.01703450083732605,12.794248580932617,video49
2,6.0,9.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.4320695578684042,0.3499152148947304,mixed,mixed,0.018806785345077515,0.026080280542373657,12.806214809417725,video49
3,9.0,12.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.41376138193371853,0.28160906629061994,mixed,mixed,0.021721303462982178,0.017726659774780273,12.98940134048462,video49
4,12.0,15.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.4438575250499042,0.28427522546715206,mixed,mixed,0.01836639642715454,0.020409971475601196,12.623232126235962,video49
5,15.0,18.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.4620998853150709,0.376483044690556,mixed,mixed,0.02537648379802704,0.012182354927062988,12.444060802459717,video49
6,18.0,21.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.418016215533386,0.2875322807166312,mixed,mixed,0.035452187061309814,0.028514564037322998,12.450958728790283,video49
7,21.0,24.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.36202265634948827,0.286237962084052,mixed,mixed,0.015338987112045288,0.023424535989761353,12.372008323669434,video49
8,24.0,27.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.3891789112929945,0.2466891760259499,mixed,mixed,0.01651710271835327,0.016201108694076538,12.463011026382446,video49
9,27.0,30.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.37263118889596725,0.2660489771285175,mixed,mixed,0.01129576563835144,0.015423685312271118,12.600937604904175,video49
