window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
10,30.0,33.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.36341175841696466,0.26190947428529643,mixed,mixed,0.040668636560440063,0.013971775770187378,12.38301134109497,video49
11,33.0,36.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.583809524847413,0.36540504296620685,0.26900694399704167,falling,falling,0.038287967443466187,0.03616294264793396,12.375070333480835,video49
12,36.0,39.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.3618417308654314,0.2941979789807473,mixed,mixed,0.012200236320495605,0.04120129346847534,12.500500679016113,video49
13,39.0,42.0,CHECK_IN,CHECK_IN,False,same,VA_POSE,positive-low-arousal,0.6,0.3571867964885853,0.27297533836997584,rising,rising,0.011254727840423584,0.04136360436677933,12.459214925765991,video49
14,42.0,45.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.35760959302201684,0.2666417191977854,mixed,mixed,0.02536371350288391,0.016778260469436646,12.750803709030151,video49
15,45.0,48.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.319604092909966,0.24000576924946573,mixed,mixed,0.013153940439224243,0.03581152483820915,12.484262704849243,video49
16,48.0,51.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.42893393797638973,0.3445640798704124,mixed,mixed,0.012706100940704346,0.01389533281326294,12.478818655014038,video49
17,51.0,54.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.3914330414047948,0.3564024435149299,mixed,mixed,0.028802037239074707,0.02622896432876587,12.618510484695435,video49
18,54.0,57.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.41252622302667596,0.297648486531811,mixed,mixed,0.013114064931869507,0.024645358324050903,12.671078443527222,video49
19,57.0,60.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.38629988820096595,0.3361245036861043,mixed,mixed,0.02936607599258423,0.009943097829818726,12.9192636013031,video49
20,60.0,63.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.3852057410978977,0.2952351952776497,falling,mixed,0.02597925066947937,0.009108036756515503,12.59262466430664,video49
21,63.0,66.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.36711192811712806,0.3022202240464128,mixed,mixed,0.014912039041519165,0.010981261730194092,12.725886106491089,video49
22,66.0,69.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.3947983330782549,0.2966485093405217,mixed,mixed,0.02022877335548401,0.019284546375274658,12.254571676254272,video49
23,69.0,72.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.37758144037223157,0.3297778896895456,rising,mixed,0.019137263298034668,0.014936059713363647,12.434809446334839,video49
24,72.0,75.0,CHECK_IN,CHECK_IN,False,same,VA_POSE,positive-low-arousal,0.6,0.3742768626522135,0.39069259884180846,falling,falling,0.08408814668655396,0.04919636249542236,12.159149408340454,video49
25,75.0,78.0,NEUTRAL,NEUTRAL,True,changed,REACTION_POSE,neutral,0.55,0.2190356230662193,0.36589423815409344,mixed,falling,0.027774512767791748,0.035626888275146484,12.304665565490723,video49
26,78.0,81.0,CHECK_IN,CHECK_IN,True,changed,REACTION_POSE,positive-low-arousal,0.55,0.2509291056129668,0.3901862726535326,mixed,falling,0.024489685893058777,0.040021300315856934,12.879513263702393,video49
27,81.0,84.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.2107818087126002,0.3678621526485608,mixed,mixed,0.017789393663406372,0.021694183349609375,12.927750825881958,video49
28,84.0,87.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.2632288454491415,0.40720405917108793,mixed,mixed,0.010966300964355469,0.043443575501441956,12.328153371810913,video49
29,87.0,90.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.23895338554809123,0.3558816913469338,mixed,falling,0.012661486864089966,0.04662594199180603,12.781945705413818,video49
30,90.0,93.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.270317290024257,0.35412460767928466,mixed,rising,0.01558595895767212,0.03203269839286804,12.779617071151733,video49
31,93.0,96.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.2865201771075343,0.42907311776537954,mixed,rising,0.025060296058654785,0.03909227252006531,12.277397155761719,video49
32,96.0,99.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.3020807502814281,0.419697517046222,mixed,rising,0.022089242935180664,0.035175859928131104,12.19814395904541,video49
33,99.0,102.0,ENGAGE,NEUTRAL,False,low_confidence,REACTION_POSE,positive-high-arousal,0.5,0.3441928450340106,0.49102504183480766,mixed,mixed,0.024215131998062134,0.016909867525100708,12.24190378189087,video49
34,102.0,105.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.3316468936793598,0.4155718266596029,mixed,falling,0.01731744408607483,0.023389428853988647,12.20081353187561,video49
35,105.0,108.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.28878888340643893,0.36067930912529983,mixed,mixed,0.018921196460723877,0.011992305517196655,12.11700439453125,video49
36,108.0,111.0,ENGAGE,ENGAGE,True,changed,REACTION_POSE,positive-high-arousal,0.55,0.2949023563184856,0.4560832600166768,rising,mixed,0.01814553141593933,0.01407429575920105,12.090683937072754,video49
37,111.0,114.0,ENGAGE,ENGAGE,False,same,REACTION_POSE,positive-high-arousal,0.55,0.30693196698471353,0.4920261200563407,falling,mixed,0.03559604287147522,0.008989959955215454,12.098197937011719,video49
38,114.0,117.0,ENGAGE,ENGAGE,False,same,REACTION_POSE,positive-high-arousal,0.55,0.26591956744223466,0.4660904460851057,mixed,falling,0.010537445545196533,0.01763412356376648,11.942344903945923,video49
39,117.0,120.0,CHECK_IN,CHECK_IN,True,changed,REACTION_POSE,positive-low-arousal,0.55,0.263672094286224,0.30349396463529565,mixed,falling,0.010044872760772705,0.03457567095756531,11.947257280349731,video49
40,120.0,123.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.2873644240108537,0.3281043049545936,mixed,mixed,0.01617741584777832,0.030917257070541382,11.913195848464966,video49
41,123.0,126.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.27917408041748,0.412513416674402,mixed,rising,0.013357996940612793,0.048667728900909424,11.732619285583496,video49
42,126.0,129.0,CHECK_IN,CHECK_IN,False,same,VA_POSE,positive-low-arousal,0.6,0.285928252854465,0.437450013042968,falling,falling,0.021854251623153687,0.027450084686279297,11.678426027297974,video49
43,129.0,132.0,CHECK_IN,CHECK_IN,False,same,VA_POSE,positive-low-arousal,0.6,0.2934730902866081,0.4310223703031187,falling,falling,0.01346483826637268,0.028525561094284058,11.68126106262207,video49
44,132.0,135.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.22420117378602794,0.3564818571379155,mixed,mixed,0.012407854199409485,0.02407705783843994,11.847156286239624,video49
45,135.0,138.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.27150906769581784,0.3706538301927072,mixed,rising,0.020341336727142334,0.032101452350616455,11.81737732887268,video49
46,138.0,141.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.28202406261806134,0.39701621878294296,mixed,mixed,0.013328492641448975,0.02156028151512146,11.838467836380005,video49
47,141.0,144.0,ENGAGE,NEUTRAL,False,low_confidence,REACTION_POSE,positive-high-arousal,0.5,0.2855339909409299,0.45667286272402163,mixed,mixed,0.026492446660995483,0.02730199694633484,11.807195663452148,video49
48,144.0,147.0,ENGAGE,ENGAGE,True,changed,REACTION_POSE,positive-high-arousal,0.55,0.29046176180795386,0.46061315911787526,falling,mixed,0.017884373664855957,0.03286370635032654,12.01136040687561,video49
49,147.0,150.0,CHECK_IN,CHECK_IN,True,changed,REACTION_POSE,positive-low-arousal,0.55,0.2652674342195193,0.41634345643314313,mixed,falling,0.012969434261322021,0.018757283687591553,11.845546007156372,video49
50,150.0,153.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.24751534910849582,0.33932675145290514,mixed,mixed,0.01765453815460205,0.03705349564552307,11.881730794906616,video49
51,153.0,156.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.21757348148543157,0.19134715273056502,mixed,mixed,0.008316010236740112,0.013676151633262634,11.665650129318237,video49
52,156.0,159.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.31451696231041426,0.24931539337576172,mixed,mixed,0.01638352870941162,0.022009551525115967,11.279783964157104,video49
53,159.0,162.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.3026838289734758,0.21002650840414894,mixed,mixed,0.013812780380249023,0.01791238784790039,11.513927459716797,video49
54,162.0,165.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.305320860059173,0.202331616324775,mixed,mixed,0.015861868858337402,0.011670023202896118,11.320971012115479,video49
55,165.0,168.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.3205864867310465,0.1626343924874141,mixed,mixed,0.01159241795539856,0.026803240180015564,11.354096174240112,video49
56,168.0,171.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.3020803181477535,0.169980835215545,mixed,mixed,0.009751617908477783,0.022422954440116882,11.519345760345459,video49
57,171.0,174.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.3026425958047678,0.24554868171244493,falling,mixed,0.023370206356048584,0.01723119616508484,11.555367946624756,video49
58,174.0,177.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.26511688861582017,0.23090185151423936,mixed,mixed,0.041880667209625244,0.008322298526763916,11.334549188613892,video49
59,177.0,180.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.24640320940518085,0.25261199860661115,falling,mixed,0.018377482891082764,0.03256520628929138,11.496110916137695,video49
60,180.0,183.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.23607702866012667,0.26855407526463637,mixed,mixed,0.013031244277954102,0.012060612440109253,11.596190690994263,video49
61,183.0,186.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.26049307071500355,0.22395798370794015,mixed,mixed,0.019154086709022522,0.014892533421516418,11.38086199760437,video49
62,186.0,189.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.2731127589941025,0.23778906602550437,mixed,mixed,0.0061789751052856445,0.016154050827026367,11.381163597106934,video49
63,189.0,192.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.27707117170463375,0.2670028318225602,mixed,mixed,0.009830683469772339,0.011944949626922607,12.09471845626831,video49
64,192.0,195.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.27159712426824334,0.2423578781294234,mixed,mixed,0.014410197734832764,0.016401663422584534,12.888238430023193,video49
65,195.0,198.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.3005247230147138,0.18915560648397164,mixed,mixed,0.022575408220291138,0.012404486536979675,12.575633764266968,video49
66,198.0,201.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.2830337486517282,0.19191985568146647,mixed,mixed,0.010831683874130249,0.014315441250801086,12.32180118560791,video49
67,201.0,204.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.231095707067001,0.2467491387585063,mixed,mixed,0.03298693895339966,0.015756696462631226,12.474853992462158,video49
