window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
0,0.0,3.0,NEUTRAL,NEUTRAL,True,first,REACTION_POSE,neutral,0.5,0.20260195942913614,0.11497319671438962,mixed,mixed,0.006238237023353577,0.004291832447052002,12.865420818328857,video38
1,3.0,6.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19677661268449412,0.11901706620687391,mixed,mixed,0.005927726626396179,0.004988327622413635,11.860691785812378,video38
2,6.0,9.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.2108247718978219,0.13048288035320071,mixed,mixed,0.003957986831665039,0.005893982946872711,12.039373874664307,video38
3,9.0,12.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19761230228695928,0.11134416728121478,mixed,mixed,0.013201728463172913,0.010309822857379913,12.431300163269043,video38
4,12.0,15.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19870696748356995,0.11903688993032385,mixed,mixed,0.004504695534706116,0.005113780498504639,12.32900094985962,video38
5,15.0,18.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.14322673538472594,0.13198959027848592,mixed,mixed,0.015985019505023956,0.0033358410000801086,12.47524642944336,video38
6,18.0,21.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.15829950116756486,0.13472236474839652,mixed,mixed,0.012109130620956421,0.007063321769237518,12.565922975540161,video38
7,21.0,24.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1893541841972165,0.13754488473258367,mixed,mixed,0.007401183247566223,0.0049853697419166565,12.462593078613281,video38
8,24.0,27.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.2131587059759512,0.14248477313213231,mixed,mixed,0.0050111934542655945,0.002976931631565094,12.379363298416138,video38
9,27.0,30.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.21832917676102825,0.160227412312496,mixed,mixed,0.007502526044845581,0.006198309361934662,12.592612504959106,video38
10,30.0,33.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.206997702488812,0.14431480899816607,mixed,mixed,0.015115983784198761,0.011957727372646332,12.232609033584595,video38
11,33.0,36.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18779445385060659,0.12985379357890384,mixed,mixed,0.017615877091884613,0.011752262711524963,14.076000928878784,video38
12,36.0,39.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20418986723553845,0.13271360453672526,mixed,mixed,0.008273005485534668,0.0053619444370269775,14.181926488876343,video38
13,39.0,42.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18117015608927098,0.13163750718643025,mixed,mixed,0.020197167992591858,0.010334916412830353,12.818158388137817,video38
14,42.0,45.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.15622435969005272,0.11722199364406306,mixed,mixed,0.010438941419124603,0.006310153752565384,12.505784749984741,video38
15,45.0,48.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1924506623933955,0.1333932254190852,mixed,mixed,0.009798392653465271,0.006173685193061829,12.531611919403076,video38
16,48.0,51.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.21005971057385933,0.13754231591777102,mixed,mixed,0.006059601902961731,0.006307542324066162,12.577862739562988,video38
17,51.0,54.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17350499386467585,0.1389119567849287,mixed,mixed,0.027413904666900635,0.01560654491186142,12.409294128417969,video38
