window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
0,0.0,3.0,NEUTRAL,NEUTRAL,True,first,REACTION_POSE,neutral,0.5,0.2042190341485871,0.15533383862103944,mixed,mixed,0.003130778670310974,0.0017158091068267822,12.858874320983887,video41
1,3.0,6.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20391272969635915,0.1573336593530796,mixed,mixed,0.0028568506240844727,0.002653941512107849,12.096372604370117,video41
2,6.0,9.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20430797871984083,0.15810498098532358,mixed,mixed,0.004324078559875488,0.001926317811012268,12.196906566619873,video41
3,9.0,12.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.2092126155341113,0.15842581889879556,mixed,mixed,0.0034886300563812256,0.0020317137241363525,12.012268543243408,video41
4,12.0,15.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.21426050981253753,0.1559830920563804,mixed,mixed,0.008130721747875214,0.0016031265258789062,11.671037197113037,video41
5,15.0,18.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.22470426375483288,0.16012903128141237,mixed,mixed,0.004466727375984192,0.0028922557830810547,11.45988917350769,video41
6,18.0,21.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.22533976994914773,0.16099214415859292,mixed,mixed,0.007243335247039795,0.0036695748567581177,11.523961782455444,video41
7,21.0,24.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.21705164852207653,0.1644311034017139,mixed,mixed,0.008867815136909485,0.005482465028762817,11.574295282363892,video41
8,24.0,27.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.21339328085750708,0.1628979691016821,mixed,mixed,0.003814786672592163,0.0031308233737945557,11.594946384429932,video41
9,27.0,30.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.22048661048397605,0.1582275641921126,mixed,mixed,0.005867764353752136,0.001025959849357605,11.772105932235718,video41
10,30.0,33.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20860622648471666,0.16518968012597826,mixed,mixed,0.003289133310317993,0.0030498355627059937,11.642269849777222,video41
11,33.0,36.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.21586602788280557,0.16059401318614866,mixed,mixed,0.004147365689277649,0.005139604210853577,11.67296814918518,video41
12,36.0,39.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.216573231474117,0.15769501159220567,mixed,mixed,0.0051839351654052734,0.0029260367155075073,12.021094799041748,video41
13,39.0,42.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.2149555030980228,0.1532176939057715,mixed,mixed,0.003315076231956482,0.0027808696031570435,11.711633205413818,video41
14,42.0,45.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.2216210413126298,0.1566889085519461,mixed,mixed,0.00943349301815033,0.0055618733167648315,12.186812400817871,video41
15,45.0,48.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.21289307173387503,0.15303934356312693,mixed,mixed,0.006766080856323242,0.0024302154779434204,11.934105396270752,video41
