window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
10,30.0,33.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19165597083391966,0.20753404038187898,mixed,mixed,0.003031209111213684,0.002131938934326172,13.402136325836182,video30
11,33.0,36.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18567579947871926,0.20972264410904895,mixed,mixed,0.007247298955917358,0.0036453157663345337,13.380564212799072,video30
12,36.0,39.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1854684532240585,0.21519715118187446,mixed,mixed,0.0027822405099868774,0.001676797866821289,13.424331426620483,video30
13,39.0,42.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19108376771579555,0.2063898178346363,mixed,mixed,0.005901560187339783,0.0018987953662872314,13.294819593429565,video30
14,42.0,45.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19075202836114682,0.20730231279208336,mixed,mixed,0.007583349943161011,0.002326756715774536,13.564343690872192,video30
15,45.0,48.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18052244204797863,0.2065337245111112,mixed,mixed,0.007608875632286072,0.0033136457204818726,13.597795248031616,video30
16,48.0,51.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20011242948196553,0.21087583715533031,mixed,mixed,0.00888131558895111,0.0033714473247528076,13.393341779708862,video30
17,51.0,54.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17798890371197534,0.20740527153750996,mixed,mixed,0.012544795870780945,0.0033823996782302856,13.532644510269165,video30
18,54.0,57.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.187636528486087,0.20806765114819561,mixed,mixed,0.006729632616043091,0.002352207899093628,13.627101421356201,video30
19,57.0,60.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1855611926243629,0.21299427885700156,mixed,mixed,0.009673163294792175,0.003317728638648987,13.148010730743408,video30
20,60.0,63.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17730591754302566,0.21566651963893277,mixed,mixed,0.008492439985275269,0.004323437809944153,13.19196891784668,video30
21,63.0,66.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19241353910830286,0.2118508968456292,mixed,mixed,0.004049420356750488,0.003340005874633789,12.91901683807373,video30
22,66.0,69.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17709498673125548,0.21211305803354877,mixed,mixed,0.01164485514163971,0.005733311176300049,13.111112117767334,video30
23,69.0,72.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18912220336956742,0.20255481571327022,mixed,mixed,0.00456102192401886,0.002642109990119934,13.212710618972778,video30
24,72.0,75.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1976689658139223,0.20544581225624792,mixed,mixed,0.004346325993537903,0.00301322340965271,13.313482761383057,video30
25,75.0,78.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20326839897919585,0.20333964469624155,mixed,mixed,0.003215417265892029,0.002126157283782959,13.57201600074768,video30
26,78.0,81.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19306108622271337,0.19583219878467512,mixed,mixed,0.0094824880361557,0.002392098307609558,13.38769793510437,video30
27,81.0,84.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19976153270697888,0.20147377087010276,mixed,mixed,0.007489942014217377,0.004291221499443054,13.357936143875122,video30
28,84.0,87.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19200150939969368,0.20301500017996188,mixed,mixed,0.007343754172325134,0.0025519132614135742,13.256626605987549,video30
29,87.0,90.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18988871178877206,0.2081405539755468,mixed,mixed,0.002811804413795471,0.0021615177392959595,13.34475564956665,video30
30,90.0,93.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1814251988666293,0.20946366459499172,mixed,mixed,0.00874561071395874,0.0018547624349594116,13.172070980072021,video30
31,93.0,96.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18679171441881745,0.2029339787952694,mixed,mixed,0.011105343699455261,0.001670554280281067,13.300681352615356,video30
32,96.0,99.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19574365360133442,0.20201281356958695,mixed,mixed,0.008231580257415771,0.003092154860496521,13.324597120285034,video30
33,99.0,102.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1761263276875755,0.2087442343249733,mixed,mixed,0.005739167332649231,0.008140906691551208,13.202858924865723,video30
34,102.0,105.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18340475940042072,0.20014751003480252,mixed,mixed,0.006098613142967224,0.003130123019218445,13.348036289215088,video30
35,105.0,108.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18673103031368904,0.2024896103474829,mixed,mixed,0.0024576038122177124,0.002591833472251892,13.299323081970215,video30
36,108.0,111.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18968254300179305,0.19771926399366355,mixed,mixed,0.008438318967819214,0.0028038322925567627,13.221794366836548,video30
37,111.0,114.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1883599774245127,0.20139384840005708,mixed,mixed,0.005523815751075745,0.0026649385690689087,13.337627172470093,video30
38,114.0,117.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18572207949595687,0.19673166562009742,mixed,mixed,0.007862851023674011,0.0027043670415878296,13.23412036895752,video30
39,117.0,120.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1898194448447522,0.2022546880223133,mixed,mixed,0.007419228553771973,0.007767394185066223,13.04433560371399,video30
40,120.0,123.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1915282303996292,0.20015101778654404,mixed,mixed,0.006865121424198151,0.00577111542224884,13.543669700622559,video30
41,123.0,126.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18559181993758236,0.20271246392785766,mixed,mixed,0.003812640905380249,0.003018885850906372,13.729118347167969,video30
42,126.0,129.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19665146186763857,0.1993707909628197,mixed,mixed,0.009701132774353027,0.0032802224159240723,13.49124813079834,video30
43,129.0,132.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19780236372241267,0.1980070737592968,mixed,mixed,0.0028493553400039673,0.0028881728649139404,13.511765718460083,video30
44,132.0,135.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18103726750906604,0.20806198787909966,mixed,mixed,0.005488604307174683,0.0031344443559646606,13.701780319213867,video30
45,135.0,138.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18694729100406907,0.2077678052915467,mixed,mixed,0.0042103976011276245,0.0034865140914916992,13.725562572479248,video30
46,138.0,141.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.197971647904243,0.2067181020975113,mixed,mixed,0.014501288533210754,0.0030287504196166992,13.455979108810425,video30
47,141.0,144.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19168249154348432,0.20722383555070853,mixed,mixed,0.004359349608421326,0.002876952290534973,12.935627460479736,video30
48,144.0,147.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19295302718693827,0.20893975540443702,mixed,mixed,0.005213677883148193,0.0026166290044784546,13.133740425109863,video30
49,147.0,150.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1940212908350391,0.20363982444928017,mixed,mixed,0.006444111466407776,0.0016110390424728394,12.91091275215149,video30
50,150.0,153.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20128052102194893,0.20507517806541772,mixed,mixed,0.004918888211250305,0.003175705671310425,12.954720497131348,video30
51,153.0,156.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19070267916461567,0.20692711700627833,mixed,mixed,0.004985585808753967,0.002865538001060486,12.580524921417236,video30
52,156.0,159.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1946713231779911,0.203303419145537,mixed,mixed,0.004397273063659668,0.0022699087858200073,12.787744998931885,video30
53,159.0,162.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19098875423272452,0.20972187614735263,mixed,mixed,0.008188620209693909,0.003216072916984558,12.562909126281738,video30
54,162.0,165.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20728785636616343,0.19627694482052768,mixed,mixed,0.0059417784214019775,0.003550812602043152,12.70425796508789,video30
55,165.0,168.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1885948543563301,0.20616686114190538,mixed,mixed,0.010413110256195068,0.002917930483818054,12.72199296951294,video30
56,168.0,171.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18501025410713973,0.2073385888411675,mixed,mixed,0.0050737857818603516,0.00674322247505188,13.053200006484985,video30
57,171.0,174.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19017307777647618,0.2026445926339538,mixed,mixed,0.004507184028625488,0.002157077193260193,12.970431804656982,video30
58,174.0,177.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19195356610932468,0.2043858453815366,mixed,mixed,0.0060903578996658325,0.003614068031311035,12.73424220085144,video30
59,177.0,180.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17243907361486813,0.1963470302246235,mixed,mixed,0.00489470362663269,0.005397483706474304,13.053442478179932,video30
60,180.0,183.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.20119478972053823,0.20186325162649155,mixed,mixed,0.008661031723022461,0.0037688910961151123,12.837095260620117,video30
61,183.0,186.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1911220266311257,0.19880550041978742,mixed,mixed,0.00826476514339447,0.006219536066055298,13.219337463378906,video30
62,186.0,189.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19464645015052806,0.20219056712992398,mixed,mixed,0.005245029926300049,0.004417046904563904,13.414466619491577,video30
63,189.0,192.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.183879989762733,0.20239005118240544,mixed,mixed,0.007532015442848206,0.0030348896980285645,13.375867128372192,video30
64,192.0,195.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17952548238782234,0.20504589020102112,mixed,mixed,0.007105916738510132,0.006590545177459717,13.277989387512207,video30
65,195.0,198.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17542089209144499,0.1983345412177804,mixed,mixed,0.014308154582977295,0.003342732787132263,13.377781629562378,video30
66,198.0,201.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19084846982617437,0.2071633338008398,mixed,mixed,0.007789433002471924,0.004699096083641052,13.300538778305054,video30
67,201.0,204.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17234238660261955,0.20307157630169834,mixed,mixed,0.015172883868217468,0.00402049720287323,13.135902166366577,video30
68,204.0,207.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.16314431583439862,0.20470606866810057,mixed,mixed,0.007470160722732544,0.006560176610946655,13.100623369216919,video30
69,207.0,210.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.163660288500933,0.20287394808766282,mixed,mixed,0.007289066910743713,0.004608631134033203,13.436256170272827,video30
70,210.0,213.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.16754577262901965,0.20062831264955025,mixed,mixed,0.00642046332359314,0.004692554473876953,13.162006855010986,video30
71,213.0,216.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17508262441850003,0.20468517659622945,mixed,mixed,0.003915712237358093,0.0030187219381332397,13.146758556365967,video30
72,216.0,219.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18890792002648482,0.20703046437766817,mixed,mixed,0.008107975125312805,0.0030618757009506226,12.836410284042358,video30
73,219.0,222.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1884573112115448,0.20613084383952765,mixed,mixed,0.007987812161445618,0.0023759156465530396,12.867685079574585,video30
74,222.0,225.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1980212337716862,0.20796183689876838,mixed,mixed,0.0054688602685928345,0.003265678882598877,13.069154024124146,video30
75,225.0,228.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1909130674177482,0.21067689331593337,mixed,mixed,0.005226105451583862,0.004245072603225708,13.311630010604858,video30
76,228.0,231.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19165217890231698,0.20228542994569848,mixed,mixed,0.0074227601289749146,0.006978631019592285,14.18297004699707,video30
77,231.0,234.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.186092785295145,0.2014592484007647,mixed,mixed,0.008816897869110107,0.002827480435371399,14.152431011199951,video30
78,234.0,237.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19291063517700008,0.1987760740297812,mixed,mixed,0.005890950560569763,0.0036154091358184814,13.620459794998169,video30
79,237.0,240.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1892655125738662,0.2014788900628502,mixed,mixed,0.006651073694229126,0.002525433897972107,13.613643169403076,video30
80,240.0,243.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19352631059325773,0.20715520668912818,mixed,mixed,0.0023496150970458984,0.005402624607086182,13.363037347793579,video30
81,243.0,246.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.17866768651170495,0.20162871259230156,mixed,mixed,0.004983246326446533,0.002110615372657776,13.42375373840332,video30
82,246.0,249.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19123927296863663,0.20420982753053124,mixed,mixed,0.005509957671165466,0.0038229674100875854,13.001732587814331,video30
83,249.0,252.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.191404548002246,0.1980753959513005,mixed,mixed,0.005731061100959778,0.006756812334060669,13.35361647605896,video30
84,252.0,255.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1941963237836773,0.1973785776414989,mixed,mixed,0.0066244155168533325,0.004770219326019287,13.120700359344482,video30
85,255.0,258.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1888194117281172,0.20333484265907312,mixed,mixed,0.010261565446853638,0.0030922889709472656,13.223360776901245,video30
86,258.0,261.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18370351921996952,0.1966188848938471,mixed,mixed,0.006456553936004639,0.0018685907125473022,13.10244870185852,video30
87,261.0,264.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.2067853973971473,0.20083679727934026,mixed,mixed,0.01313154399394989,0.003840908408164978,13.194251537322998,video30
88,264.0,267.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19703409429869534,0.2009985680565422,mixed,mixed,0.0045447200536727905,0.002957358956336975,13.159871101379395,video30
89,267.0,270.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18710514259191208,0.20308633387824634,mixed,mixed,0.005189284682273865,0.004421532154083252,13.212713241577148,video30
90,270.0,273.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1836202832651727,0.20253864666562021,mixed,mixed,0.00807952880859375,0.005956530570983887,12.92069673538208,video30
