window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
0,0.0,3.0,NEUTRAL,NEUTRAL,True,first,REACTION_POSE,neutral,0.5,0.18975148055656457,0.20238854377358048,mixed,mixed,0.007842481136322021,0.0031089037656784058,18.35273265838623,video30
1,3.0,6.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1794689786562949,0.20498702978646313,mixed,mixed,0.007163599133491516,0.003854095935821533,13.209002017974854,video30
2,6.0,9.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18422854034069144,0.20705340361153637,mixed,mixed,0.007689967751502991,0.0033380836248397827,13.108204364776611,video30
3,9.0,12.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19324921342877693,0.20572055756677815,mixed,mixed,0.004541024565696716,0.0014286339282989502,13.059860944747925,video30
4,12.0,15.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19393213507201937,0.20463125729634438,mixed,mixed,0.010463148355484009,0.0017907768487930298,13.046226024627686,video30
5,15.0,18.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.18433770086662268,0.21209015246526694,mixed,mixed,0.012455031275749207,0.0023312270641326904,13.066117763519287,video30
6,18.0,21.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19345559676488241,0.21224499567423338,mixed,mixed,0.007013276219367981,0.0044226497411727905,12.996583938598633,video30
7,21.0,24.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.19578619880808723,0.2080387313056875,mixed,mixed,0.006537392735481262,0.0020404011011123657,13.031058549880981,video30
8,24.0,27.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1954310638025219,0.21160490424544723,mixed,mixed,0.005914665758609772,0.00250186026096344,13.289703369140625,video30
9,27.0,30.0,NEUTRAL,NEUTRAL,False,low_confidence,REACTION_POSE,neutral,0.5,0.1898515414400601,0.20973375770780775,mixed,mixed,0.005368068814277649,0.005858778953552246,13.210945129394531,video30
